TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
DDX21	-0.965	8.328e-01	-1.941	0.370	0.819	9.732e-01
NR5A2	-1.864	9.688e-01	-0.958	0.370	0.819	9.733e-01
HOXA6	-0.793	7.862e-01	-2.318	0.378	0.819	9.735e-01
POLR3A	-1.309	9.047e-01	-2.082	0.399	0.820	9.738e-01
DIDO1	-1.289	9.013e-01	-1.650	0.377	0.821	9.740e-01
SPIN1	-0.973	8.347e-01	-1.979	0.369	0.823	9.749e-01
ZBTB10	-0.968	8.334e-01	-2.034	0.370	0.825	9.757e-01
POU2F1	-1.563	9.410e-01	-0.834	0.319	0.826	9.762e-01
AGO2	-0.866	8.069e-01	-2.223	0.374	0.826	9.763e-01
ZNF146	-1.179	8.809e-01	-2.284	0.397	0.829	9.774e-01
NFYC	-1.006	8.429e-01	-2.008	0.368	0.829	9.775e-01
E2F2	-1.062	8.559e-01	-1.918	0.364	0.830	9.778e-01
BARX1	-0.942	8.268e-01	-2.147	0.371	0.831	9.783e-01
SNAPC1	-1.092	8.625e-01	-1.888	0.362	0.832	9.787e-01
EBNA2	-1.406	9.202e-01	-1.160	0.338	0.832	9.788e-01
PBX1	-1.382	9.166e-01	-2.003	0.391	0.832	9.788e-01
CENPC	-1.732	9.583e-01	-0.679	0.151	0.834	9.792e-01
MCM7	-1.839	9.670e-01	-1.210	0.369	0.835	9.797e-01
USP49	-1.478	9.303e-01	-1.087	0.331	0.835	9.797e-01
ZNF260	-1.110	8.665e-01	-1.894	0.361	0.835	9.798e-01
STAT5B	-3.601	9.998e-01	-1.514	0.399	0.836	9.802e-01
ZNF707	-1.941	9.738e-01	-1.316	0.378	0.837	9.805e-01
TLE3	-1.614	9.467e-01	-0.924	0.309	0.837	9.806e-01
GMEB2	-1.329	9.081e-01	-1.916	0.378	0.839	9.811e-01
GLI2	-0.983	8.373e-01	-2.991	0.387	0.839	9.814e-01
ZNF837	-1.335	9.091e-01	-1.919	0.380	0.839	9.814e-01
ELL2	-1.843	9.674e-01	-2.056	0.404	0.840	9.816e-01
ZNF280D	-0.954	8.300e-01	-2.797	0.383	0.841	9.820e-01
NKRF	-1.425	9.230e-01	-2.046	0.388	0.844	9.828e-01
NCOR1	-1.488	9.316e-01	-2.416	0.403	0.844	9.829e-01
LRWD1	-1.729	9.581e-01	-0.826	0.229	0.844	9.830e-01
VDR	-3.308	9.995e-01	-2.107	0.413	0.845	9.834e-01
DLX1	-1.006	8.428e-01	-2.261	0.368	0.846	9.835e-01
PLRG1	-2.448	9.928e-01	-0.667	0.209	0.847	9.837e-01
NCOR2	-1.872	9.694e-01	-1.162	0.353	0.848	9.842e-01
ZBTB40	-2.599	9.953e-01	-2.393	0.416	0.848	9.843e-01
ATOH1	-1.087	8.614e-01	-2.131	0.362	0.850	9.847e-01
TERF2	-1.497	9.328e-01	-1.272	0.329	0.850	9.847e-01
ZNF217	-1.605	9.457e-01	-1.140	0.311	0.851	9.851e-01
CD34	-1.674	9.529e-01	-1.850	0.383	0.852	9.854e-01
ARNT2	-1.060	8.554e-01	-2.263	0.365	0.853	9.857e-01
SND1	-2.572	9.949e-01	-1.062	0.349	0.855	9.864e-01
SREBF1	-2.167	9.849e-01	-2.725	0.411	0.855	9.864e-01
ZNF597	-1.543	9.386e-01	-1.281	0.322	0.856	9.866e-01
ZNF701	-1.249	8.941e-01	-1.901	0.352	0.857	9.867e-01
ZNF430	-1.637	9.492e-01	-1.205	0.303	0.857	9.868e-01
APOBEC3B	-1.367	9.142e-01	-1.715	0.342	0.858	9.872e-01
ZNF354C	-1.664	9.520e-01	-1.188	0.295	0.859	9.874e-01
ETV5	-1.590	9.441e-01	-1.881	0.371	0.861	9.879e-01
NFAT5	-1.125	8.697e-01	-2.227	0.360	0.861	9.879e-01
HES2	-7.199	1.000e+00	-1.070	0.359	0.863	9.883e-01
CREB3L4	-1.205	8.858e-01	-2.083	0.355	0.864	9.886e-01
ZXDC	-1.328	9.080e-01	-1.868	0.346	0.865	9.889e-01
YBX1	-3.634	9.999e-01	-0.992	0.343	0.866	9.891e-01
MLLT1	-2.892	9.981e-01	-2.206	0.401	0.871	9.904e-01
ZNF292	-1.654	9.509e-01	-1.424	0.299	0.871	9.904e-01
FOXG1	-1.172	8.793e-01	-2.332	0.357	0.873	9.908e-01
ELK3	-1.112	8.670e-01	-2.686	0.361	0.874	9.909e-01
CASP8AP2	-1.200	8.849e-01	-2.271	0.355	0.875	9.912e-01
ETV6	-2.308	9.895e-01	-1.215	0.313	0.875	9.912e-01
ZBED1	-2.167	9.849e-01	-1.422	0.339	0.875	9.912e-01
ZNF48	-1.674	9.529e-01	-1.445	0.291	0.875	9.912e-01
MXD3	-1.228	8.902e-01	-2.238	0.354	0.877	9.916e-01
RAC3	-1.327	9.078e-01	-2.059	0.346	0.877	9.916e-01
ARNTL	-1.506	9.340e-01	-2.353	0.382	0.877	9.917e-01
KMT2D	-2.900	9.981e-01	-2.223	0.400	0.877	9.917e-01
SIX4	-1.681	9.537e-01	-1.473	0.289	0.878	9.918e-01
HDAC6	-1.614	9.468e-01	-2.303	0.385	0.880	9.922e-01
HMGN1	-1.285	9.006e-01	-2.190	0.350	0.881	9.924e-01
FEV	-1.230	8.907e-01	-2.290	0.354	0.881	9.924e-01
IL1B	-2.940	9.984e-01	-1.697	0.369	0.883	9.927e-01
MBD3	-2.708	9.966e-01	-1.908	0.379	0.883	9.928e-01
TDRD3	-1.313	9.054e-01	-2.162	0.348	0.883	9.928e-01
ASH1L	-1.213	8.875e-01	-2.475	0.355	0.884	9.929e-01
ETS2	-1.737	9.588e-01	-2.231	0.385	0.884	9.930e-01
KLF6	-1.163	8.776e-01	-3.374	0.358	0.886	9.933e-01
ELK1	-2.995	9.986e-01	-2.271	0.398	0.887	9.936e-01
STAT5	-3.146	9.992e-01	-1.601	0.357	0.890	9.940e-01
SREBF2	-1.397	9.188e-01	-2.138	0.339	0.893	9.945e-01
GREB1	-3.758	9.999e-01	-1.219	0.300	0.895	9.948e-01
MAFB	-1.243	8.931e-01	-2.863	0.352	0.896	9.950e-01
RFX2	-1.269	8.979e-01	-2.713	0.351	0.896	9.950e-01
SMARCC2	-1.510	9.345e-01	-2.373	0.364	0.896	9.950e-01
ZFP41	-2.186	9.856e-01	-1.750	0.329	0.899	9.954e-01
REL	-1.821	9.657e-01	-2.219	0.365	0.901	9.956e-01
RBP2	-1.502	9.335e-01	-2.095	0.328	0.902	9.958e-01
CD74	-2.961	9.985e-01	-1.497	0.292	0.905	9.961e-01
PPARD	-1.311	9.050e-01	-3.138	0.348	0.906	9.963e-01
ZNF138	-1.512	9.347e-01	-2.141	0.327	0.907	9.964e-01
ZBTB7B	-1.357	9.127e-01	-2.753	0.343	0.910	9.967e-01
BRD1	-1.386	9.172e-01	-2.682	0.340	0.910	9.967e-01
AEBP2	-1.855	9.682e-01	-2.101	0.348	0.910	9.968e-01
ETV7	-1.395	9.185e-01	-2.644	0.339	0.911	9.968e-01
PHF2	-1.680	9.536e-01	-2.669	0.362	0.913	9.970e-01
GRHL1	-1.573	9.421e-01	-2.170	0.318	0.915	9.972e-01
MAF	-2.678	9.963e-01	-2.651	0.381	0.917	9.974e-01
GMEB1	-1.610	9.463e-01	-2.214	0.310	0.919	9.976e-01
KLF3	-1.484	9.311e-01	-2.664	0.330	0.921	9.977e-01
ZNF8	-1.940	9.738e-01	-2.787	0.369	0.921	9.977e-01
NONO	-2.413	9.921e-01	-1.854	0.276	0.921	9.978e-01
ZSCAN2	-1.711	9.565e-01	-2.067	0.271	0.921	9.978e-01
KAT7	-1.460	9.278e-01	-2.795	0.333	0.922	9.978e-01
HOXA1	-1.518	9.355e-01	-2.465	0.326	0.923	9.979e-01
EHF	-2.353	9.907e-01	-2.586	0.367	0.923	9.980e-01
NCAPG	-2.681	9.963e-01	-2.116	0.352	0.924	9.980e-01
NFATC1	-1.979	9.761e-01	-2.841	0.365	0.925	9.981e-01
SPDEF	-2.466	9.932e-01	-3.775	0.377	0.925	9.981e-01
FOXP3	-2.423	9.923e-01	-1.916	0.272	0.926	9.982e-01
WDHD1	-1.843	9.673e-01	-2.541	0.350	0.926	9.982e-01
RARG	-2.468	9.932e-01	-2.171	0.347	0.928	9.983e-01
ZNF207	-3.398	9.997e-01	-1.788	0.297	0.928	9.983e-01
SMAD5	-2.041	9.794e-01	-2.239	0.336	0.930	9.984e-01
MTA3	-2.589	9.952e-01	-3.203	0.374	0.931	9.985e-01
YBX3	-2.079	9.812e-01	-2.260	0.332	0.932	9.986e-01
ZNF75A	-1.669	9.525e-01	-2.327	0.293	0.932	9.986e-01
ELF2	-1.712	9.565e-01	-2.231	0.270	0.934	9.987e-01
IRAK1	-1.525	9.364e-01	-3.202	0.325	0.935	9.988e-01
RBBP4	-1.568	9.415e-01	-3.106	0.319	0.937	9.989e-01
KDM5A	-3.182	9.993e-01	-2.112	0.326	0.944	9.992e-01
BRPF3	-2.425	9.923e-01	-2.861	0.347	0.947	9.993e-01
CTBP1	-2.531	9.943e-01	-2.565	0.335	0.949	9.994e-01
ZNF687	-2.221	9.868e-01	-3.059	0.319	0.957	9.996e-01
ELK4	-3.077	9.990e-01	-2.484	0.330	0.957	9.996e-01
MEN1	-2.385	9.915e-01	-2.570	0.287	0.958	9.997e-01
ZNF592	-2.355	9.907e-01	-2.969	0.303	0.961	9.997e-01
